sample_date,e_coli_cfu_per_100ml,value_note,lookback_days,spill_hours_within_1_mile,spill_hours_1_to_5_miles,spill_hours_5_to_10_miles,spill_hours_10_to_20_miles,spill_hours_20_to_50_miles,queried_feature_count,event_count,spill_hours_total,nearest_spill_miles
2025-11-29,10.0,,7,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-12-04,450.0,,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-12-04,450.0,,2,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-12-04,450.0,,3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-12-04,450.0,,4,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-12-04,450.0,,5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-12-04,450.0,,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-12-04,450.0,,7,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-12-11,1000.0,lab maximum shown as >1000 on source page when exceeded,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-12-11,1000.0,lab maximum shown as >1000 on source page when exceeded,2,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-12-11,1000.0,lab maximum shown as >1000 on source page when exceeded,3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-12-11,1000.0,lab maximum shown as >1000 on source page when exceeded,4,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-12-11,1000.0,lab maximum shown as >1000 on source page when exceeded,5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-12-11,1000.0,lab maximum shown as >1000 on source page when exceeded,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-12-11,1000.0,lab maximum shown as >1000 on source page when exceeded,7,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-12-18,1000.0,lab maximum shown as >1000 on source page when exceeded,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-12-18,1000.0,lab maximum shown as >1000 on source page when exceeded,2,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-12-18,1000.0,lab maximum shown as >1000 on source page when exceeded,3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-12-18,1000.0,lab maximum shown as >1000 on source page when exceeded,4,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-12-18,1000.0,lab maximum shown as >1000 on source page when exceeded,5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-12-18,1000.0,lab maximum shown as >1000 on source page when exceeded,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-12-18,1000.0,lab maximum shown as >1000 on source page when exceeded,7,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
