site_id,site_name,receiving_watercourse,in_conham_filter,outfall_lat,outfall_lon,distance_miles,upstream,event_start,event_end,duration_hours
WXW00566,BRISTOL HUDDS VALE ROAD / PLUMERS HILL,RIVER AVON VIA SWS (ESTUARINE),False,51.46278725,-2.541931899,1.276,False,2025-06-03T10:16:00+00:00,2025-06-03T10:18:00+00:00,0.03
WXW00581,BRISTOL IRVING CLOSE SEYMOUR ROAD,TRIB OF WARMLEY BROOK VIA SWS,False,51.47865325,-2.504651472,2.672,True,2025-06-03T10:16:00+00:00,2025-06-03T10:22:00+00:00,0.1
WXW00032,BRISTOL KINGSWOOD ORCHARD VALE NEW O/S 42,SISTON BROOK VIA SWS,False,51.45931561,-2.491080773,2.132,True,2025-06-03T10:18:00+00:00,2025-06-03T10:20:00+00:00,0.03
WXW00076,BRISTOL KINGSWOOD ALMA RD / NEW CHELTENHAM RD JUNCTION,WARMLEY BROOK VIA SWS,False,51.46662464,-2.499897636,2.126,True,2025-06-03T10:20:00+00:00,2025-06-03T10:24:00+00:00,0.07
WXW00426,BRISTOL FILTON AVENUE OUTSIDE NO 230,HORFIELD BROOK VIA SWS,False,51.49246722,-2.576277729,3.742,False,2025-06-03T10:26:00+00:00,2025-06-03T10:28:00+00:00,0.03
WXW00864,BRISTOL HANHAM POLLY BARNES HILL,RIVER AVON (VIA SWS),True,51.449659,-2.52216188,0.638,True,2025-06-03T10:26:00+00:00,2025-06-03T10:32:00+00:00,0.1
WXW00589,KEYNSHAM HIGH LEVEL PS AVON MILL LANE,RIVER CHEW,True,51.41509871,-2.494201826,2.7,True,2025-06-03T10:36:00+00:00,2025-06-03T11:38:00+00:00,1.03
WXW00426,BRISTOL FILTON AVENUE OUTSIDE NO 230,HORFIELD BROOK VIA SWS,False,51.49246722,-2.576277729,3.742,False,2025-06-03T10:44:00+00:00,2025-06-03T11:00:00+00:00,0.27
WXW00785,PEASEDOWN ST JOHN NEW BUILDINGS / WHITEBROOK LANE,UNNAMED DITCH(S),False,51.31459192,-2.438755094,9.908,True,2025-06-03T10:50:00+00:00,2025-06-03T10:53:00+00:00,0.05
WXW00754,BATH MOORLAND ROAD NEAR NO 49,RIVER AVON(S),False,51.37653337,-2.377996702,8.244,True,2025-06-03T10:54:00+00:00,2025-06-03T10:56:00+00:00,0.03
WXW00408,BATH ENTRY HILL GARDENS R/G NO 6 (LYNCOMBE VALE),THE RIVER AVON,False,51.36781734,-2.364723499,9.06,True,2025-06-03T10:54:00+00:00,2025-06-03T11:26:00+00:00,0.53
WXW00924,BATH RECREATION GROUND BY NORTH STAND,RIVER AVON,True,51.38273558,-2.355717322,8.831,True,2025-06-03T10:56:00+00:00,2025-06-03T11:24:00+00:00,0.47
WXW01211,BATH WELLSWAY NR 372,RIVER AVON,True,51.36051886,-2.372363948,9.11,True,2025-06-03T10:56:00+00:00,2025-06-03T11:00:00+00:00,0.07
WXW00150,BATH BLOOMFIELD ROAD NO 33 JUNCTION WITH HENSLEY ROAD,RIVER AVON VIA SWS,True,51.37002139,-2.36726937,8.881,True,2025-06-03T11:00:00+00:00,2025-06-03T11:06:00+00:00,0.1
WXW00952,SALTFORD O/S 46 HIGH STREET,RIVER AVON (VIA SWS),True,51.40500879,-2.452141868,4.502,True,2025-06-03T11:00:00+00:00,2025-06-03T11:10:00+00:00,0.17
